Tick 1112459(1112002), Delay 108 ms, IGT 15:26:37.506, RTA 97:33:35.282-97:33:35.390
Tick 1112460(1112003), Delay 0 ms, IGT 15:26:37.556, RTA 97:33:35.390-97:33:35.390
Tick 1112461(1112004), Delay 42 ms, IGT 15:26:37.606, RTA 97:33:35.390-97:33:35.432
Tick 1112487(1112030), Delay 120 ms, IGT 15:26:38.906, RTA 97:33:36.683-97:33:36.803
Tick 1112488(1112031), Delay 1 ms, IGT 15:26:38.956, RTA 97:33:36.803-97:33:36.804
Tick 1112489(1112032), Delay 29 ms, IGT 15:26:39.006, RTA 97:33:36.804-97:33:36.833
Tick 1112569(1112112), Delay 110 ms, IGT 15:26:43.006, RTA 97:33:40.785-97:33:40.895
Tick 1112570(1112113), Delay 0 ms, IGT 15:26:43.056, RTA 97:33:40.895-97:33:40.895
Tick 1112571(1112114), Delay 39 ms, IGT 15:26:43.106, RTA 97:33:40.895-97:33:40.934
Tick 1112608(1112151), Delay 66 ms, IGT 15:26:44.956, RTA 97:33:42.732-97:33:42.798
Tick 1112609(1112152), Delay 34 ms, IGT 15:26:45.006, RTA 97:33:42.798-97:33:42.832
Tick 1112656(1112198), Delay 346 ms, IGT 15:26:47.306, RTA 97:33:45.131-97:33:45.477
Tick 1112657(1112198), Delay 2116 ms, IGT 15:26:47.306, RTA 97:33:45.477-97:33:47.593
Tick 1112659(1112199), Delay 9 ms, IGT 15:26:47.312, RTA 97:33:47.643-97:33:47.652
Tick 1112684(1112224), Delay 124 ms, IGT 15:26:48.562, RTA 97:33:48.855-97:33:48.979
Tick 1112685(1112225), Delay 1 ms, IGT 15:26:48.612, RTA 97:33:48.979-97:33:48.980
Tick 1112686(1112226), Delay 25 ms, IGT 15:26:48.662, RTA 97:33:48.980-97:33:49.005
Tick 1112701(1112241), Delay 113 ms, IGT 15:26:49.412, RTA 97:33:49.705-97:33:49.818
Tick 1112702(1112242), Delay 0 ms, IGT 15:26:49.462, RTA 97:33:49.818-97:33:49.818
Tick 1112703(1112243), Delay 34 ms, IGT 15:26:49.512, RTA 97:33:49.818-97:33:49.852
Tick 1112779(1112319), Delay 36572 ms, IGT 15:26:53.312, RTA 97:33:53.602-97:34:30.174
Tick 1112887(1112427), Delay 60 ms, IGT 15:26:58.712, RTA 97:34:35.523-97:34:35.583
Tick 1112888(1112428), Delay 42 ms, IGT 15:26:58.762, RTA 97:34:35.583-97:34:35.625
Tick 1112995(1112535), Delay 61 ms, IGT 15:27:04.112, RTA 97:34:40.925-97:34:40.986
Tick 1112996(1112536), Delay 37 ms, IGT 15:27:04.162, RTA 97:34:40.986-97:34:41.023
Tick 1113012(1112552), Delay 57 ms, IGT 15:27:04.962, RTA 97:34:41.773-97:34:41.830
Tick 1113028(1112568), Delay 103 ms, IGT 15:27:05.762, RTA 97:34:42.576-97:34:42.679
Tick 1113029(1112569), Delay 0 ms, IGT 15:27:05.812, RTA 97:34:42.679-97:34:42.679
Tick 1113069(1112609), Delay 93 ms, IGT 15:27:07.812, RTA 97:34:44.626-97:34:44.719
Tick 1113070(1112610), Delay 5 ms, IGT 15:27:07.862, RTA 97:34:44.719-97:34:44.724
Tick 1113284(1112823), Delay 350 ms, IGT 15:27:18.512, RTA 97:34:55.374-97:34:55.724
Tick 1113285(1112823), Delay 1751 ms, IGT 15:27:18.512, RTA 97:34:55.724-97:34:57.475
Tick 1113286(1112824), Delay 60 ms, IGT 15:27:18.518, RTA 97:34:57.475-97:34:57.535
